,im_paths,ma_paths,white_pixels,corrupted
0,masachussetts/images/10078660_15.tiff,masachussetts/groundtruth/10078660_15.tif,2169611,True
1,masachussetts/images/10078675_15.tiff,masachussetts/groundtruth/10078675_15.tif,128,False
2,masachussetts/images/10078690_15.tiff,masachussetts/groundtruth/10078690_15.tif,50719,False
3,masachussetts/images/10078705_15.tiff,masachussetts/groundtruth/10078705_15.tif,596167,True
4,masachussetts/images/10078720_15.tiff,masachussetts/groundtruth/10078720_15.tif,2505193,True
5,masachussetts/images/10078735_15.tiff,masachussetts/groundtruth/10078735_15.tif,4831466,True
6,masachussetts/images/10078750_15.tiff,masachussetts/groundtruth/10078750_15.tif,6158977,True
7,masachussetts/images/10228660_15.tiff,masachussetts/groundtruth/10228660_15.tif,1418023,True
8,masachussetts/images/10228675_15.tiff,masachussetts/groundtruth/10228675_15.tif,99,False
9,masachussetts/images/10228705_15.tiff,masachussetts/groundtruth/10228705_15.tif,59,False
10,masachussetts/images/10228720_15.tiff,masachussetts/groundtruth/10228720_15.tif,2,False
11,masachussetts/images/10228735_15.tiff,masachussetts/groundtruth/10228735_15.tif,38,False
12,masachussetts/images/10228750_15.tiff,masachussetts/groundtruth/10228750_15.tif,23,False
13,masachussetts/images/10228765_15.tiff,masachussetts/groundtruth/10228765_15.tif,833411,True
14,masachussetts/images/10228780_15.tiff,masachussetts/groundtruth/10228780_15.tif,1205140,True
15,masachussetts/images/10228795_15.tiff,masachussetts/groundtruth/10228795_15.tif,3154731,True
16,masachussetts/images/10378660_15.tiff,masachussetts/groundtruth/10378660_15.tif,572112,True
17,masachussetts/images/10378675_15.tiff,masachussetts/groundtruth/10378675_15.tif,99,False
18,masachussetts/images/10378690_15.tiff,masachussetts/groundtruth/10378690_15.tif,221,False
19,masachussetts/images/10378705_15.tiff,masachussetts/groundtruth/10378705_15.tif,146,False
20,masachussetts/images/10378720_15.tiff,masachussetts/groundtruth/10378720_15.tif,180,False
21,masachussetts/images/10378735_15.tiff,masachussetts/groundtruth/10378735_15.tif,274,False
22,masachussetts/images/10378750_15.tiff,masachussetts/groundtruth/10378750_15.tif,199,False
23,masachussetts/images/10378765_15.tiff,masachussetts/groundtruth/10378765_15.tif,123,False
24,masachussetts/images/10378795_15.tiff,masachussetts/groundtruth/10378795_15.tif,1720134,True
25,masachussetts/images/10528660_15.tiff,masachussetts/groundtruth/10528660_15.tif,13311,False
26,masachussetts/images/10528675_15.tiff,masachussetts/groundtruth/10528675_15.tif,167,False
27,masachussetts/images/10528690_15.tiff,masachussetts/groundtruth/10528690_15.tif,106,False
28,masachussetts/images/10528705_15.tiff,masachussetts/groundtruth/10528705_15.tif,249,False
29,masachussetts/images/10528720_15.tiff,masachussetts/groundtruth/10528720_15.tif,183,False
30,masachussetts/images/10528735_15.tiff,masachussetts/groundtruth/10528735_15.tif,254,False
31,masachussetts/images/10528750_15.tiff,masachussetts/groundtruth/10528750_15.tif,349,False
32,masachussetts/images/10528765_15.tiff,masachussetts/groundtruth/10528765_15.tif,100,False
33,masachussetts/images/10528780_15.tiff,masachussetts/groundtruth/10528780_15.tif,178,False
34,masachussetts/images/10528795_15.tiff,masachussetts/groundtruth/10528795_15.tif,1962392,True
35,masachussetts/images/10678660_15.tiff,masachussetts/groundtruth/10678660_15.tif,215,False
36,masachussetts/images/10678675_15.tiff,masachussetts/groundtruth/10678675_15.tif,44,False
37,masachussetts/images/10678690_15.tiff,masachussetts/groundtruth/10678690_15.tif,80,False
38,masachussetts/images/10678705_15.tiff,masachussetts/groundtruth/10678705_15.tif,219,False
39,masachussetts/images/10678720_15.tiff,masachussetts/groundtruth/10678720_15.tif,81,False
